datetime,strategy,layer,optimizer,seed,n_trials,n_variants,n_signals,pair,main_tf,sub_tf,bt_per_sec,runtime_s,trades,win_rate_pct,total_pips,expectancy_pips,max_dd_pct,profit_factor,sharpe,return_pct,quality,best_variant_id,best_variant_family,run_file
2026-04-22 10:29:08,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,12561.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_102908.npz
2026-04-22 10:29:16,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2239.0,0.08,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_102916.npz
2026-04-22 10:35:33,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,14643.0,0.13,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_103533.npz
2026-04-22 10:35:41,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2183.0,0.1,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_103541.npz
2026-04-22 10:36:34,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,13954.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_103634.npz
2026-04-22 10:36:42,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2180.0,0.11,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_103642.npz
2026-04-22 10:37:59,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,14203.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_103759.npz
2026-04-22 10:38:07,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2062.0,0.09,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_103807.npz
2026-04-22 10:42:37,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,15607.0,0.15,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_104237.npz
2026-04-22 10:42:45,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2041.0,0.1,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260422_104245.npz
2026-04-22 10:46:05,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,16593.0,0.15,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260422_104605.npz
